note_on,time,velocity,instrument,duration
98,48.01136363636363,43,drums,0.10000000000000142
98,48.17045454545454,8,drums,0.10000000000000142
98,49.365909090909085,63,drums,0.10000000000000142
98,49.663636363636364,38,drums,0.09999999999999432
98,49.81363636363636,33,drums,0.10000000000000142
98,49.96363636363636,65,drums,0.10000000000000142
98,50.111363636363635,52,drums,0.10000000000000142
98,50.41136363636363,52,drums,0.10000000000000142
98,50.709090909090904,127,drums,0.10000000000000142
98,50.87045454545454,68,drums,0.10000000000000142
98,51.018181818181816,18,drums,0.10000000000000142
98,51.15681818181818,127,drums,0.10000000000000142
98,51.31818181818181,127,drums,0.10000000000000142
98,51.465909090909086,11,drums,0.10000000000000142
98,51.60454545454545,127,drums,0.10000000000000142
98,51.76590909090909,60,drums,0.09999999999999432
98,51.913636363636364,27,drums,0.09999999999999432
98,52.06363636363636,13,drums,0.10000000000000142
98,52.21363636363636,127,drums,0.10000000000000142
98,52.36363636363636,78,drums,0.10000000000000142
98,52.51136363636363,125,drums,0.10000000000000142
98,52.67272727272727,13,drums,0.10000000000000142
98,52.820454545454545,27,drums,0.09999999999999432
98,52.970454545454544,11,drums,0.10000000000000142
98,53.10909090909091,127,drums,0.09999999999999432
98,53.27045454545454,73,drums,0.10000000000000142
98,53.418181818181814,19,drums,0.10000000000000142
98,53.55681818181818,127,drums,0.10000000000000142
98,53.71818181818182,127,drums,0.09999999999999432
98,53.865909090909085,13,drums,0.10000000000000142
98,54.01590909090909,127,drums,0.09999999999999432
98,54.175,56,drums,0.10000000000000142
98,54.31363636363636,28,drums,0.10000000000000142
98,54.474999999999994,13,drums,0.10000000000000142
98,54.61363636363636,127,drums,0.10000000000000142
98,54.77272727272727,69,drums,0.09999999999999432
98,54.91136363636363,127,drums,0.10000000000000142
98,55.07272727272727,14,drums,0.10000000000000142
98,55.220454545454544,30,drums,0.10000000000000142
98,55.37045454545454,12,drums,0.10000000000000142
98,55.50909090909091,127,drums,0.10000000000000142
98,55.67045454545454,75,drums,0.10000000000000142
98,55.82954545454545,3,drums,0.10000000000000142
98,55.96818181818182,127,drums,0.09999999999999432
98,56.11818181818182,127,drums,0.10000000000000142
98,56.26590909090909,15,drums,0.09999999999999432
98,56.41590909090909,127,drums,0.10000000000000142
98,56.574999999999996,60,drums,0.10000000000000142
98,56.724999999999994,29,drums,0.10000000000000142
98,56.875,13,drums,0.09999999999999432
98,57.01363636363636,127,drums,0.10000000000000142
98,57.17272727272727,70,drums,0.10000000000000142
98,57.32272727272727,127,drums,0.10000000000000142
98,57.47272727272727,14,drums,0.10000000000000142
98,57.62045454545454,25,drums,0.10000000000000142
98,57.77045454545454,11,drums,0.10000000000000142
98,57.92045454545454,127,drums,0.10000000000000142
98,58.070454545454545,72,drums,0.09999999999999432
98,58.21818181818182,18,drums,0.09999999999999432
98,58.36818181818182,127,drums,0.10000000000000142
98,58.518181818181816,127,drums,0.10000000000000142
98,58.67727272727272,15,drums,0.10000000000000142
98,58.81590909090909,127,drums,0.10000000000000142
98,58.974999999999994,69,drums,0.10000000000000142
98,59.125,30,drums,0.09999999999999432
