pitch,velocity,duration,pos,boundary,bar,instrument,velocity_bucket,duration_bucket
57,100,0.32272727272727275,607,0,3,DL_Remix_Guitar,-1,-1
60,100,0.2,694,0,3,DL_Remix_Guitar,-1,-1
57,100,0.38181818181818183,836,0,3,DL_Remix_Guitar,-1,-1
57,100,0.22272727272727272,48,1,4,DL_Remix_Guitar,-1,-1
62,100,0.6772727272727272,260,1,4,DL_Remix_Guitar,-1,-1
59,100,0.2818181818181818,465,1,4,DL_Remix_Guitar,-1,-1
60,100,0.1,527,0,4,DL_Remix_Guitar,-1,-1
60,100,0.18181818181818182,575,0,4,DL_Remix_Guitar,-1,-1
41,100,0.3409090909090909,616,0,4,DL_Remix_Guitar,-1,-1
41,100,0.2,721,0,4,DL_Remix_Guitar,-1,-1
60,100,0.5772727272727273,765,0,4,DL_Remix_Guitar,-1,-1
53,100,0.1,444,1,5,DL_Remix_Guitar,-1,-1
55,100,0.2590909090909091,545,0,5,DL_Remix_Guitar,-1,-1
60,100,0.2590909090909091,849,1,5,DL_Remix_Guitar,-1,-1
57,100,0.4,150,1,6,DL_Remix_Guitar,-1,-1
60,100,0.11818181818181818,360,1,6,DL_Remix_Guitar,-1,-1
56,100,0.2409090909090909,399,0,6,DL_Remix_Guitar,-1,-1
60,100,0.1,458,0,6,DL_Remix_Guitar,-1,-1
57,100,0.18181818181818182,708,1,6,DL_Remix_Guitar,-1,-1
52,100,0.36363636363636365,795,0,6,DL_Remix_Guitar,-1,-1
52,100,0.42272727272727273,4,1,7,DL_Remix_Guitar,-1,-1
45,100,0.1590909090909091,396,1,7,DL_Remix_Guitar,-1,-1
55,100,0.3,726,1,7,DL_Remix_Guitar,-1,-1
57,100,0.11818181818181818,836,0,7,DL_Remix_Guitar,-1,-1
57,100,0.4590909090909091,84,1,8,DL_Remix_Guitar,-1,-1
57,100,0.21818181818181817,338,1,8,DL_Remix_Guitar,-1,-1
57,100,0.18181818181818182,400,0,8,DL_Remix_Guitar,-1,-1
57,100,0.1409090909090909,462,0,8,DL_Remix_Guitar,-1,-1
57,100,0.6818181818181818,563,0,8,DL_Remix_Guitar,-1,-1
56,100,0.12272727272727273,761,0,8,DL_Remix_Guitar,-1,-1
60,100,0.1409090909090909,56,1,9,DL_Remix_Guitar,-1,-1
55,100,0.1,211,0,9,DL_Remix_Guitar,-1,-1
55,100,0.1409090909090909,426,1,9,DL_Remix_Guitar,-1,-1
53,100,0.3,804,1,9,DL_Remix_Guitar,-1,-1
53,100,0.16363636363636364,48,1,10,DL_Remix_Guitar,-1,-1
53,100,0.12272727272727273,101,0,10,DL_Remix_Guitar,-1,-1
48,100,0.17727272727272728,171,0,10,DL_Remix_Guitar,-1,-1
