pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
57,100,0.5818181818181818,220,1,88,DL_Guitar,ninjyou,6,9
55,100,0.13636363636363635,612,1,88,DL_Guitar,ninjyou,6,2
59,100,0.2590909090909091,106,1,89,DL_Guitar,ninjyou,6,4
59,100,0.6,176,0,89,DL_Guitar,ninjyou,6,10
59,100,0.1590909090909091,320,1,89,DL_Guitar,ninjyou,6,3
60,100,0.18181818181818182,378,1,0,DL_Remix_Guitar,DL_Remix_Guitar,6,3
55,100,0.37727272727272726,546,1,0,DL_Remix_Guitar,DL_Remix_Guitar,6,6
55,100,0.3409090909090909,796,1,0,DL_Remix_Guitar,DL_Remix_Guitar,6,5
52,100,0.1,267,1,1,DL_Remix_Guitar,DL_Remix_Guitar,6,2
53,100,0.18181818181818182,290,0,1,DL_Remix_Guitar,DL_Remix_Guitar,6,3
60,100,0.1,360,0,1,DL_Remix_Guitar,DL_Remix_Guitar,6,2
60,100,0.11818181818181818,405,0,1,DL_Remix_Guitar,DL_Remix_Guitar,6,2
60,100,0.2636363636363636,487,0,1,DL_Remix_Guitar,DL_Remix_Guitar,6,4
60,100,0.1590909090909091,700,1,1,DL_Remix_Guitar,DL_Remix_Guitar,6,3
62,100,0.4409090909090909,34,1,2,DL_Remix_Guitar,DL_Remix_Guitar,6,7
55,100,0.2772727272727273,281,1,2,DL_Remix_Guitar,DL_Remix_Guitar,6,4
62,100,0.18181818181818182,421,1,2,DL_Remix_Guitar,DL_Remix_Guitar,6,3
62,100,0.2818181818181818,528,0,2,DL_Remix_Guitar,DL_Remix_Guitar,6,5
62,100,0.11818181818181818,611,0,2,DL_Remix_Guitar,DL_Remix_Guitar,6,2
62,100,0.5227272727272727,642,0,2,DL_Remix_Guitar,DL_Remix_Guitar,6,8
61,100,0.1590909090909091,83,1,3,DL_Remix_Guitar,DL_Remix_Guitar,6,3
61,100,0.18181818181818182,122,0,3,DL_Remix_Guitar,DL_Remix_Guitar,6,3
61,100,0.2818181818181818,254,1,3,DL_Remix_Guitar,DL_Remix_Guitar,6,5
57,100,0.37727272727272726,427,1,3,DL_Remix_Guitar,DL_Remix_Guitar,6,6
57,100,0.32272727272727275,607,1,3,DL_Remix_Guitar,DL_Remix_Guitar,6,5
60,100,0.2,694,0,3,DL_Remix_Guitar,DL_Remix_Guitar,6,3
57,100,0.38181818181818183,836,1,3,DL_Remix_Guitar,DL_Remix_Guitar,6,6
57,100,0.22272727272727272,48,1,4,DL_Remix_Guitar,DL_Remix_Guitar,6,4
62,100,0.6772727272727272,260,1,4,DL_Remix_Guitar,DL_Remix_Guitar,6,11
59,100,0.2818181818181818,465,1,4,DL_Remix_Guitar,DL_Remix_Guitar,6,5
60,100,0.1,527,0,4,DL_Remix_Guitar,DL_Remix_Guitar,6,2
60,100,0.18181818181818182,575,0,4,DL_Remix_Guitar,DL_Remix_Guitar,6,3
